mes,ano,cpfs_unicos,cnpjs_unicos
8,2019,182935,1990
9,2019,157808,2260
10,2019,126549,2294
11,2019,109435,1936
12,2019,93843,2987
1,2020,104950,2877
2,2020,104590,2173
3,2020,100692,2248
4,2020,106036,1398
5,2020,126228,1817
6,2020,99382,2700
7,2020,116589,3777
8,2020,126597,3377
9,2020,104721,3514
10,2020,111508,3172
11,2020,169139,4107
12,2020,202730,4469
1,2021,353334,4236
2,2021,423038,4477
3,2021,470821,4410
4,2021,619125,5506
5,2021,596906,7070
6,2021,357085,7380
7,2021,312276,7268
8,2021,437459,6983
9,2021,422631,7766
10,2021,531374,5602
11,2021,526734,6898
12,2021,952285,8164
1,2022,844261,10469
2,2022,645032,11612
3,2022,669983,14109
4,2022,683268,35084
5,2022,682120,31008
6,2022,1002603,32016
7,2022,1503913,32800
8,2022,1457352,38555
9,2022,1588847,41417
10,2022,1351605,43647
11,2022,1255892,50007
12,2022,851844,65579
1,2023,1444234,116415
2,2023,1205787,127775
3,2023,1640154,153148
4,2023,2064521,168320
5,2023,2013872,198027
6,2023,3489636,217043
7,2023,4406776,241659
8,2023,9078782,278735
9,2023,9180376,293982
10,2023,9092656,330814
11,2023,9208489,372390
12,2023,1951011,374578
1,2024,8888313,402012
2,2024,8541633,421419
3,2024,7329462,23874
4,2024,6849893,23841
5,2024,6094024,25131
6,2024,5789067,22020
7,2024,5411759,23866
8,2024,5093357,25921
9,2024,4567521,25882
10,2024,1884039,23294
11,2024,2999797,26024
12,2024,6190941,84816
1,2025,6028331,93180
2,2025,4763310,91305
3,2025,4814142,91349
4,2025,5112080,100126
5,2025,5266356,110683
6,2025,1328657,25578
7,2025,4495622,93008
8,2025,5170252,117058
9,2025,4812426,103877
10,2025,4980864,107365
11,2025,4893669,105746
12,2025,3565329,69154
1,2026,4011675,70050
2,2026,4048093,82641
3,2026,4262232,92133
4,2026,5077018,110721
5,2026,4726702,116407
6,2026,4667864,107067
