mes,ano,perc_num_oper_feminino,perc_num_oper_masculino,perc_valor_oper_feminino,perc_valor_oper_masculino
8,2019,11.36,88.64,11.12,88.88
9,2019,10.73,89.27,10.38,89.62
10,2019,11.49,88.51,8,92
11,2019,10.72,89.28,13.13,86.87
12,2019,11.56,88.44,11.55,88.45
1,2020,11.22,88.78,7.75,92.25
2,2020,10.78,89.22,10.52,89.48
3,2020,11.33,88.67,11.54,88.46
4,2020,11.42,88.58,12.79,87.21
5,2020,11.54,88.46,13.79,86.21
6,2020,9.81,90.19,14.33,85.67
7,2020,10.47,89.53,13.55,86.45
8,2020,12.57,87.43,11.06,88.94
9,2020,9.82,90.18,15.29,84.71
10,2020,10.22,89.78,13.25,86.75
11,2020,10.84,89.16,12.8,87.2
12,2020,9.76,90.24,12.89,87.11
1,2021,9.65,90.35,11.6,88.4
2,2021,10.74,89.26,11.9,88.1
3,2021,10.21,89.79,11.49,88.51
4,2021,10.78,89.22,11.11,88.89
5,2021,9.71,90.29,10.37,89.63
6,2021,9.78,90.22,12.84,87.16
7,2021,11.58,88.42,12.15,87.85
8,2021,13.8,86.2,13.99,86.01
9,2021,12.66,87.34,13.06,86.94
10,2021,14.61,85.39,14.42,85.58
11,2021,14.85,85.15,13.91,86.09
12,2021,16.2,83.8,14.23,85.77
1,2022,16,84,16.24,83.76
2,2022,14.49,85.51,12.37,87.63
3,2022,14.97,85.03,13.03,86.97
4,2022,15.91,84.09,13.54,86.46
5,2022,13.15,86.85,13.34,86.66
6,2022,14.54,85.46,15.72,84.28
7,2022,18.06,81.94,14.37,85.63
8,2022,17.84,82.16,13.44,86.56
9,2022,18.96,81.04,13.65,86.35
10,2022,20.17,79.83,15.56,84.44
11,2022,19.68,80.32,13.83,86.17
12,2022,24.96,75.04,15.71,84.29
1,2023,23.01,76.99,16.85,83.15
2,2023,16.32,83.68,15.22,84.78
3,2023,19.34,80.66,16.2,83.8
4,2023,11.11,88.89,16.26,83.74
5,2023,11.4,88.6,17.59,82.41
6,2023,17.1,82.9,17.02,82.98
7,2023,19.37,80.63,17.1,82.9
8,2023,30.22,69.78,17.17,82.83
9,2023,29.14,70.86,19.45,80.55
10,2023,36.14,63.86,17.22,82.78
11,2023,30.69,69.31,16.6,83.4
12,2023,23.13,76.87,16.61,83.39
1,2024,40.96,59.04,17.44,82.56
2,2024,40.55,59.45,17.43,82.57
3,2024,37.64,62.36,13.59,86.41
4,2024,38.88,61.12,12.81,87.19
5,2024,38.7,61.3,14.9,85.1
6,2024,38.66,61.34,15.89,84.11
7,2024,38.27,61.73,15.19,84.81
8,2024,37.88,62.12,16.31,83.69
9,2024,37.48,62.52,16.19,83.81
10,2024,34.63,65.37,16.49,83.51
11,2024,35.63,64.37,14.44,85.56
12,2024,31.82,68.18,14.19,85.81
1,2025,29.2,70.8,12.69,87.31
2,2025,28,72,11.38,88.62
3,2025,28.95,71.05,12.26,87.74
4,2025,30,70,13.28,86.72
5,2025,29.01,70.99,12.84,87.16
6,2025,18.61,81.39,13.64,86.36
7,2025,28.48,71.52,13.15,86.85
8,2025,29.16,70.84,13.71,86.29
9,2025,29.62,70.38,13.77,86.23
