criptoativo,mes,ano,num_operacoes,valor_total_operacoes,valor_medio_operacao
AAVE,8,2020,1,59638.94,59638.94
AAVE,1,2021,32,296891.77,9277.87
AAVE,2,2021,129,974326.69,7552.92
AAVE,3,2021,103,64072.39,622.06
AAVE,4,2021,2859,2948464.51,1031.29
AAVE,5,2021,59256,61860554.28,1043.95
AAVE,6,2021,25401,18010101.16,709.03
AAVE,7,2021,26930,20536073.53,762.57
AAVE,8,2021,28661,22763849.69,794.24
AAVE,9,2021,20999,16247672.88,773.74
AAVE,10,2021,23243,20454895.56,880.05
AAVE,11,2021,20521,13956242.73,680.1
AAVE,12,2021,14111,9001406.05,637.9
AAVE,1,2022,10788,7027490.85,651.42
AAVE,2,2022,5828,3025437.63,519.12
AAVE,3,2022,10743,7271146.68,676.83
AAVE,4,2022,9442,7126368.92,754.75
AAVE,5,2022,9636,35073104.59,3639.8
AAVE,6,2022,9318,5628916.79,604.09
AAVE,7,2022,10091,5621278.94,557.06
AAVE,8,2022,7852,3920630.8,499.32
AAVE,9,2022,5129,2930971.56,571.45
AAVE,10,2022,4653,1962271.27,421.72
AAVE,11,2022,12685,2640025.39,208.12
AAVE,12,2022,28229,1514105.72,53.64
AAVE,1,2023,50329,4705243.2,93.49
AAVE,2,2023,33996,4716632.8,138.74
AAVE,3,2023,22591,3122750.22,138.23
AAVE,4,2023,20279,2247310.0,110.82
AAVE,5,2023,14249,1324898.94,92.98
AAVE,6,2023,20202,3436567.48,170.11
AAVE,7,2023,27737,5062978.92,182.54
AAVE,8,2023,20278,3891275.45,191.9
AAVE,9,2023,32940,3616155.39,109.78
AAVE,10,2023,104105,13080126.43,125.64
AAVE,11,2023,109538,20714725.78,189.11
AAVE,12,2023,48966,10883209.1,222.26
AAVE,1,2024,15160,8072867.55,532.51
AAVE,2,2024,57179,25729576.63,449.98
AAVE,3,2024,112733,53579101.74,475.27
AAVE,4,2024,65550,27686061.53,422.37
AAVE,5,2024,49196,21455935.14,436.13
AAVE,6,2024,49152,24149328.42,491.32
AAVE,7,2024,89317,41086497.88,460.01
AAVE,8,2024,144288,78937132.53,547.08
AAVE,9,2024,151195,82400200.33,544.99
AAVE,10,2024,108545,66790200.8,615.32
AAVE,11,2024,283020,241098078.65,851.88
AAVE,12,2024,503434,508578345.38,1010.22
AAVE,1,2025,299787,329048533.62,1097.61
AAVE,2,2025,154325,154961631.76,1004.13
AAVE,3,2025,199352,197018995.96,988.3
AAVE,4,2025,120123,76058046.06,633.17
AAVE,5,2025,185307,198706200.08,1072.31
AAVE,6,2025,133616,142118307.57,1063.63
AAVE,7,2025,153301,169933685.73,1108.5
AAVE,8,2025,126489,139227857.04,1100.71
AAVE,9,2025,97033,94960339.77,978.64
AAVE,10,2025,100628,98911031.48,982.94
AAVE,11,2025,88978,69104894.32,776.65
AAVE,12,2025,60270,24891735.57,413.0
AAVE,1,2026,74962,39902925.77,532.31
AAVE,2,2026,67474,29598932.0,438.67
AAVE,3,2026,66743,29810821.05,446.65
AAVE,4,2026,67010,42985421.83,641.48
AAVE,5,2026,56413,24825813.86,440.07
AAVE,6,2026,67531,40077696.78,593.47
ADA,8,2019,1089,268153.02,246.24
ADA,9,2019,1005,352891.51,351.14
ADA,10,2019,1231,449362.85,365.04
ADA,11,2019,1583,544227.49,343.8
ADA,12,2019,685,153358.65,223.88
ADA,1,2020,2448,670268.85,273.8
ADA,2,2020,2103,843999.55,401.33
ADA,3,2020,1375,666906.46,485.02
ADA,4,2020,1960,1190848.14,607.58
ADA,5,2020,4501,3383610.2,751.75
ADA,6,2020,6100,6373308.8,1044.8
ADA,7,2020,10762,9880544.62,918.1
ADA,8,2020,8288,7015136.19,846.42
ADA,9,2020,3747,3108455.16,829.59
ADA,10,2020,3067,1955869.49,637.71
ADA,11,2020,6904,6005406.74,869.84
ADA,12,2020,6866,5074100.62,739.02
ADA,1,2021,30935,28837820.87,932.21
ADA,2,2021,107400,159879093.57,1488.63
ADA,3,2021,80950,112510591.61,1389.88
ADA,4,2021,107704,94514753.79,877.54
ADA,5,2021,231785,256087532.09,1104.85
ADA,6,2021,80383,77343500.54,962.19
ADA,7,2021,40743,34853018.25,855.44
ADA,8,2021,285751,241112445.9,843.79
ADA,9,2021,230640,182639770.3,791.88
ADA,10,2021,273012,211031510.79,772.98
ADA,11,2021,254719,203739251.8,799.86
ADA,12,2021,135481,81440273.53,601.12
ADA,1,2022,115013,73843205.32,642.04
ADA,2,2022,71475,60529968.6,846.87
ADA,3,2022,74293,32238440.5,433.94
ADA,4,2022,57326,19543403.01,340.92
ADA,5,2022,79823,44889210.07,562.36
ADA,6,2022,74792,34818328.84,465.54
ADA,7,2022,52659,20859299.61,396.12
ADA,8,2022,51880,14646770.55,282.32
ADA,9,2022,58404,13212047.33,226.22
ADA,10,2022,47156,13259336.6,281.18
ADA,11,2022,59103,22049303.15,373.07
ADA,12,2022,29922,11953908.84,399.5
ADA,1,2023,54358,14159664.05,260.49
ADA,2,2023,52602,19418334.08,369.16
ADA,3,2023,65724,18080991.7,275.1
ADA,4,2023,38543,14485984.77,375.84
ADA,5,2023,41510,10254778.61,247.04
ADA,6,2023,50711,15740427.06,310.39
