criptoativo,mes,ano,num_operacoes,valor_total_operacoes,valor_medio_operacao
AAVE,8,2020,1,59638.94,59638.94
AAVE,1,2021,32,296891.77,9277.87
AAVE,2,2021,129,974326.69,7552.92
AAVE,3,2021,103,64072.39,622.06
AAVE,4,2021,2858,2948448.27,1031.65
AAVE,5,2021,59255,61859222.22,1043.95
AAVE,6,2021,25401,18010101.16,709.03
AAVE,7,2021,26930,20536073.53,762.57
AAVE,8,2021,28661,22763849.69,794.24
AAVE,9,2021,20999,16247672.88,773.74
AAVE,10,2021,23243,20454895.56,880.05
AAVE,11,2021,20521,13956242.73,680.1
AAVE,12,2021,14111,9001406.05,637.9
AAVE,1,2022,10788,7027490.85,651.42
AAVE,2,2022,5828,3025437.63,519.12
AAVE,3,2022,10743,7271146.68,676.83
AAVE,4,2022,9442,7126368.92,754.75
AAVE,5,2022,9636,35073104.59,3639.8
AAVE,6,2022,9318,5628916.79,604.09
AAVE,7,2022,10091,5621278.94,557.06
AAVE,8,2022,7852,3920630.8,499.32
AAVE,9,2022,5129,2930971.56,571.45
AAVE,10,2022,4653,1962271.27,421.72
AAVE,11,2022,12685,2640025.39,208.12
AAVE,12,2022,28229,1514105.72,53.64
AAVE,1,2023,50329,4705243.2,93.49
AAVE,2,2023,33996,4716632.8,138.74
AAVE,3,2023,22591,3122750.22,138.23
AAVE,4,2023,20279,2247310.0,110.82
AAVE,5,2023,14249,1324898.94,92.98
AAVE,6,2023,20202,3436567.48,170.11
AAVE,7,2023,27737,5062978.92,182.54
AAVE,8,2023,20272,3890261.32,191.9
AAVE,9,2023,32936,3615978.51,109.79
AAVE,10,2023,104103,13077108.66,125.62
AAVE,11,2023,109536,20713225.78,189.1
AAVE,12,2023,120468,29946010.19,248.58
AAVE,1,2024,15159,7972867.55,525.95
AAVE,2,2024,57179,25729576.63,449.98
AAVE,3,2024,112730,53578068.27,475.28
AAVE,4,2024,65549,27685461.53,422.36
AAVE,5,2024,49196,21455935.14,436.13
AAVE,6,2024,49152,24149328.42,491.32
AAVE,7,2024,89316,41086437.88,460.01
AAVE,8,2024,144286,78936532.53,547.08
AAVE,9,2024,151200,82404631.93,545.0
AAVE,10,2024,108544,66788192.26,615.31
AAVE,11,2024,283018,241094978.65,851.87
AAVE,12,2024,503422,508557155.18,1010.2
AAVE,1,2025,299770,329018233.63,1097.57
AAVE,2,2025,154313,154931245.19,1004.01
AAVE,3,2025,199345,197010595.1,988.29
AAVE,4,2025,120087,76067236.46,633.43
AAVE,5,2025,185301,198507258.21,1071.27
AAVE,6,2025,133566,141713409.13,1061.0
ADA,8,2019,1089,268153.02,246.24
ADA,9,2019,1005,352891.51,351.14
ADA,10,2019,1231,449362.85,365.04
ADA,11,2019,1583,544227.49,343.8
ADA,12,2019,685,153358.65,223.88
ADA,1,2020,2448,670268.85,273.8
ADA,2,2020,2103,843999.55,401.33
ADA,3,2020,1375,666906.46,485.02
ADA,4,2020,1960,1190848.14,607.58
ADA,5,2020,4501,3383610.2,751.75
ADA,6,2020,6100,6373308.8,1044.8
ADA,7,2020,10762,9880544.62,918.1
ADA,8,2020,8288,7015136.19,846.42
ADA,9,2020,3747,3108455.16,829.59
ADA,10,2020,3067,1955869.49,637.71
ADA,11,2020,6904,6005406.74,869.84
ADA,12,2020,6866,5074100.62,739.02
ADA,1,2021,30935,28837820.87,932.21
ADA,2,2021,107397,159876669.17,1488.65
ADA,3,2021,80948,112502505.51,1389.81
ADA,4,2021,107702,94508840.8,877.5
ADA,5,2021,231717,255876068.06,1104.26
ADA,6,2021,80369,77326519.21,962.14
ADA,7,2021,40738,34833960.34,855.07
ADA,8,2021,285698,240872543.16,843.1
ADA,9,2021,230593,182424448.17,791.11
ADA,10,2021,273005,211005429.29,772.9
ADA,11,2021,254662,203739027.59,800.04
ADA,12,2021,135470,81440273.42,601.17
ADA,1,2022,115007,73836141.97,642.01
ADA,2,2022,71470,60523902.24,846.84
ADA,3,2022,74292,32238427.57,433.94
ADA,4,2022,57323,19543352.61,340.93
ADA,5,2022,79820,44878756.26,562.25
ADA,6,2022,74792,34818328.84,465.54
ADA,7,2022,52658,20858309.76,396.11
ADA,8,2022,51880,14646770.55,282.32
ADA,9,2022,58403,13211955.73,226.22
ADA,10,2022,47153,13257961.69,281.17
ADA,11,2022,59103,22049303.15,373.07
ADA,12,2022,29922,11953908.84,399.5
ADA,1,2023,54358,14159664.05,260.49
ADA,2,2023,52602,19418334.08,369.16
ADA,3,2023,65720,18080181.91,275.11
ADA,4,2023,38543,14485984.77,375.84
ADA,5,2023,41509,10254535.44,247.04
ADA,6,2023,50711,15740427.06,310.39
ADA,7,2023,38308,10721847.59,279.89
ADA,8,2023,30736,6851191.78,222.9
ADA,9,2023,19470,5233747.58,268.81
ADA,10,2023,26390,8930946.35,338.42
ADA,11,2023,77770,19834461.91,255.04
ADA,12,2023,148294,51737340.46,348.88
ADA,1,2024,110770,28946392.43,261.32
ADA,2,2024,105251,37205841.41,353.5
ADA,3,2024,143021,67135757.75,469.41
ADA,4,2024,100575,35920077.31,357.15
ADA,5,2024,81800,25502746.32,311.77
ADA,6,2024,71504,25467024.77,356.16
