mes,ano,cpfs_unicos,cnpjs_unicos
8,2019,184697,2206
9,2019,159442,2377
10,2019,128184,2406
11,2019,110719,2018
12,2019,95069,3081
1,2020,106241,2995
2,2020,106381,2299
3,2020,103249,2426
4,2020,109459,1539
5,2020,128257,1969
6,2020,101508,2931
7,2020,119411,4087
8,2020,129288,3669
9,2020,106297,3861
10,2020,114154,3513
11,2020,171476,4470
12,2020,204964,4806
1,2021,355161,4443
2,2021,425150,4649
3,2021,473483,4736
4,2021,622023,5765
5,2021,599791,7478
6,2021,359527,7706
7,2021,315109,7626
8,2021,440084,7383
9,2021,424940,7903
10,2021,533841,5727
11,2021,529306,7048
12,2021,954648,8281
1,2022,846417,10596
2,2022,646645,11713
3,2022,671867,14232
4,2022,684991,35190
5,2022,683524,31108
6,2022,1003766,32104
7,2022,1505174,32890
8,2022,1458434,38651
9,2022,1589934,41518
10,2022,1352624,43734
11,2022,1256799,50087
12,2022,1129790,65659
1,2023,1445368,116548
2,2023,1206819,128273
3,2023,1640911,154654
4,2023,2064484,170153
5,2023,2013838,200187
6,2023,3489596,218925
7,2023,4406752,243968
8,2023,9078761,280579
9,2023,9180352,295273
10,2023,9092637,332363
11,2023,9208449,373781
12,2023,2434046,375949
1,2024,8888231,403310
2,2024,8541537,423010
3,2024,7329351,26374
4,2024,6849777,25859
5,2024,6093909,27108
6,2024,5788939,23606
7,2024,5411632,26569
8,2024,5092996,27761
9,2024,4566666,26928
10,2024,1883224,24857
11,2024,2998735,27683
12,2024,6189593,86592
1,2025,6027779,95717
2,2025,1922013,32060
3,2025,1726831,26189
4,2025,1618841,25478
5,2025,1666314,27543
6,2025,1302737,24618
7,2025,903,58
