mes,ano,valor_exterior_pf,valor_exterior_pj,valor_exterior_subtotal,valor_sem_ex_pf,valor_sem_ex_pj,valor_sem_ex_subtotal,valor_exchanges,valor_total
8,2019,376.17560221999895,745.3331870799998,1121.5087892999986,114.86204652000006,269.5359271500002,384.3979736700003,2531.0178518302155,4036.92
9,2019,249.50550279000032,1955.4540531299956,2204.959555919996,191.25629106,721.8239797700065,913.0802708300065,2757.3278650800853,5875.37
10,2019,305.6640039399997,1238.59519005998,1544.2591939999797,314.42070536000017,1178.7129496399998,1493.133655,3458.4957077099534,6495.89
11,2019,16.58018846,1529.7780972199744,1546.3582856799744,1.24177068,1007.9726037500005,1009.2143744300005,2974.604645169905,5530.18
12,2019,86.07884276000009,1139.8928707699952,1225.9717135299952,80.92400108999998,2377.189411370001,2458.1134124600007,3056.4262129601207,6740.51
1,2020,152.29390568999952,1625.8725682299962,1778.1664739199957,600.27585874,1414.181832410001,2014.4576911500012,3384.7890131503605,7177.41
2,2020,90.36309600000138,2859.7974972000093,2950.1605932000107,90.67026006,899.7995203000002,990.4697803600002,2588.7667171901007,6529.4
3,2020,50.680935919999996,3775.6424960500153,3826.3234319700155,190.14497673000005,947.2007194300003,1137.3456961600004,2758.6623824699986,7722.33
4,2020,17.684056450000007,3778.770557930021,3796.4546143800208,4.0842550200000005,212.27579326999998,216.36004828999998,1760.1051765700086,5772.92
5,2020,13.752757969999994,3237.4260161499983,3251.1787741199983,11.112051629999998,355.62322740000013,366.73527903000013,2832.9168407101806,6450.83
6,2020,15.684421489999986,2652.6639273599976,2668.348348849998,7.934387300000001,813.1513972800008,821.0857845800008,3191.704976210027,6681.14
7,2020,17.917042559999977,4107.578577970003,4125.495620530002,64.0566156,1036.8388509700005,1100.8954665700005,5275.520530640098,10501.91
8,2020,37.29578110999993,3679.803385470002,3717.099166580002,307.82658859,1166.1021514300003,1473.9287400200003,4496.100512040078,9687.13
9,2020,89.38609881999996,738.7913608599994,828.1774596799993,15.688214709999993,1104.5488334800002,1120.2370481900002,4963.81431156007,6912.23
10,2020,64.74581051999998,681.1023669399974,745.8481774599974,7.86482474,1203.1632079800022,1211.028032720002,4479.979892280203,6436.86
11,2020,117.89281301000004,892.6559417800005,1010.5487547900005,11.654732309999998,1364.0549431499992,1375.7096754599993,7492.797359511182,9879.06
12,2020,75.82811786999976,1034.3144222700034,1110.1425401400031,103.74732485000025,1843.1623087399998,1946.90963359,8106.035477051016,11163.09
1,2021,300.0310048599999,1168.2681844500012,1468.299189310001,66.67989677000014,1383.9425630199921,1450.6224597899923,12848.225179218807,15767.15
2,2021,329.73425262999905,1461.6365706199995,1791.3708232499985,72.37433070999998,1419.9000314799978,1492.2743621899976,13895.905388819278,17179.55
3,2021,232.5014532900001,2040.867836260006,2273.369289550006,53.36763002999999,1392.6531751399941,1446.0208051699942,14976.366792345125,18695.76
4,2021,268.31161867000003,2187.9060550700065,2456.2176737400064,103.14827079000023,2426.1842417499915,2529.332512539992,18594.87771010329,23580.43
5,2021,440.5389337999988,2589.817189000006,3030.3561228000044,114.63483553000101,2918.3245382699342,3032.9593737999353,20537.196772861043,26600.51
6,2021,224.37486180000033,2186.422210469996,2410.7970722699965,45.761265149999865,3021.440230519987,3067.201495669987,11277.870579591434,16755.87
7,2021,225.00604982999968,1719.3301216500017,1944.3361714800014,115.55709442999716,2834.5320632399894,2950.0891576699864,9350.618930471246,14245.04
8,2021,339.0286075699998,1767.7147983700008,2106.7434059400007,151.8752331500006,3179.838810820006,3331.7140439700065,11707.093182132174,17145.55
9,2021,594.4052938499991,1448.2086464399968,2042.6139402899958,226.548088049999,2652.401027420026,2878.949115470025,8654.203651871518,13575.77
10,2021,446.11154469000047,1775.3201686399957,2221.431713329996,265.18106523000057,2646.581537189996,2911.7626024199967,10461.582643160338,15594.78
11,2021,419.6415617800017,1951.6224551000012,2371.264016880003,229.969839029997,4311.594409620058,4541.564248650056,13334.702090487624,20247.53
12,2021,366.3905528000006,1548.2939617599984,1914.6845145599991,223.04008840000216,2901.986640560026,3125.0267289600283,10936.119590391718,15975.83
1,2022,300.87771974000015,1660.425664999995,1961.3033847399952,83.76532976999901,2949.6691091199946,3033.4344388899935,10847.759038661772,15842.5
2,2022,181.6739538700003,1162.7197166299977,1344.393670499998,73.34433903999991,2226.0617113000117,2299.4060503400115,10002.506784270727,13646.31
3,2022,152.63347273000045,961.7911542499986,1114.4246269799992,107.25157003999932,2688.5652345199906,2795.81680455999,9909.677138580573,13819.92
4,2022,147.14208754999984,1006.6523002300028,1153.7943877800026,119.73907552998406,2075.2673266399643,2195.006402169948,10478.602580230108,13827.4
5,2022,216.09508218000013,1571.010315059985,1787.1053972399852,74.75464719999984,3053.7402904403693,3128.4949376403692,13178.464147800883,18094.06
6,2022,562.2042139799993,1439.4311802400016,2001.6353942200008,83.05757665996785,3120.971809689977,3204.0293863499446,10028.856389671515,15234.52
7,2022,196.204572950002,1231.1826370199997,1427.3872099700015,34.116229219999944,3531.9117200001474,3566.0279492201475,9747.345440020741,14740.76
8,2022,182.1176681100001,1222.8649351099978,1404.9826032199978,39.60314123999993,2018.010226869976,2057.613368109976,11656.107759190054,15118.7
9,2022,152.81454137999978,897.5852508799949,1050.3997922599947,39.38871417999982,1460.228146899993,1499.6168610799928,10223.59629202108,12773.61
10,2022,231.7423828399999,822.9444015599992,1054.686784399999,34.743098909999915,1676.3268304499109,1711.0699293599107,11489.994952260662,14255.75
11,2022,301.07586292,1017.9532774000036,1319.0291403200035,62.771541850000254,2052.2619267499845,2115.0334685999846,13126.383010750698,16560.45
12,2022,256.77488431,1091.3056358600002,1348.0805201700002,55.59677657999957,1442.0316193600065,1497.6283959400062,11859.501207710136,14705.21
1,2023,59.74684803999999,1016.1251655700063,1075.8720136100062,56.80949861999983,1736.1802311099927,1792.9897297299926,15579.636267720349,18448.5
2,2023,53.74958135000544,879.1321850900003,932.8817664400058,176.2120493999985,1515.0701903399977,1691.2822397399962,14510.859903440245,17135.02
3,2023,85.68474229999994,1471.9199549099847,1557.6046972099846,54.98181062999997,2731.5847759299877,2786.5665865599876,17963.869613558945,22308.04
4,2023,70.44359585999999,4672.802653830007,4743.246249690007,72.0126509499854,2486.39121889567,2558.4038698456557,16808.459056819345,24110.11
5,2023,59.60943328000007,1978.4872824600052,2038.0967157400053,27.73090934000024,3156.6218499573483,3184.3527592973487,15005.102941836276,20227.55
6,2023,72.71359361000012,2853.184175379994,2925.8977689899943,95.73941693999926,4044.10612198151,4139.84553892151,16669.87674072678,23735.62
7,2023,54.35405609000006,2574.359251790008,2628.713307880008,84.63501733000005,3730.5559880489723,3815.1910053789725,18297.607044193843,24741.51
8,2023,49.89189689000006,3342.2037681700117,3392.095665060012,148.13748826,4603.388085495697,4751.525573755697,20147.0202985426,28290.64
9,2023,33.06760355,2327.4813781000094,2360.5489816500094,82.95027068,3839.4870314004556,3922.4373020804555,14226.629360780145,20509.62
10,2023,129.85847679999998,2553.7681387000057,2683.6266155000058,101.02219893000003,5163.107237418893,5264.129436348893,18359.814581367435,26307.57
11,2023,115.69885669000014,3280.9724288800003,3396.6712855700002,81.72933917999985,7174.496082046848,7256.225421226847,17055.26560376583,27708.16
12,2023,100.21811495999998,3420.3960701200026,3520.6141850800027,112.16432901999971,6388.153188480008,6500.317517500008,21492.500295361948,31513.43
1,2024,106.43456622000012,3425.4697757899944,3531.9043420099947,269.34590036000026,7028.6703126631965,7298.0162130231965,22358.246144010434,33188.17
2,2024,133.34668098000003,3421.0414318399985,3554.3881128199987,537.2914939399992,5094.9055724877235,5632.197066427722,19420.486047151277,28607.07
3,2024,193.86947539000062,6926.8033067898605,7120.672782179861,546.1923584399983,6055.322873119218,6601.515231559216,22457.650155141706,36179.84
4,2024,264.29544523,5928.005634889978,6192.301080119978,603.8274876499997,5653.374003100427,6257.201490750427,21246.24754092202,33695.75
5,2024,192.77937677999986,3687.4532898799457,3880.2326666599456,93.28718070999979,5778.480942215789,5871.768122925789,19736.238216693004,29488.24
6,2024,152.90739124999973,3692.2688650699984,3845.176256319998,95.53356329999983,4856.363696553744,4951.897259853744,19367.09693627782,28164.17
7,2024,148.51520094999995,5881.675903249984,6030.191104199984,222.87979426000015,4579.548665698736,4802.428459958736,20055.4368354022,30888.06
8,2024,158.3214745300001,4890.657804820107,5048.979279350107,155.79598699999968,5511.950419919768,5667.746406919768,23992.34402664374,34709.07
9,2024,150.49573947000002,3448.501808460044,3598.9975479300438,123.07745994000005,5890.516068384045,6013.593528324045,25308.06107143207,34920.65
10,2024,194.5936605299999,3807.666558779944,4002.2602193099437,119.2886833100001,5108.139753960007,5227.428437270007,23514.864574371124,32744.55
11,2024,377.6231790199995,3627.1487218400284,4004.771900860028,302.58242312999977,5335.647854220011,5638.2302773500105,32062.464884498717,41705.47
12,2024,538.3327665799992,5517.432271309979,6055.765037889978,246.13504975000023,6754.180974339994,7000.316024089994,38787.37725584934,51843.46
1,2025,510.1707310599992,4403.514148339998,4913.684879399998,405.37317969000014,6690.926592400018,7096.299772090018,35406.85432225004,47416.84
2,2025,307.5126442800003,4932.935080640004,5240.4477249200045,496.13032799999985,6315.028268110005,6811.158596110005,23795.718203546294,35847.32
3,2025,274.0795900999999,5544.6823195699935,5818.761909669994,173.28412191,6770.493964900003,6943.7780868100035,24999.820733123095,37762.36
4,2025,374.11567865999984,4823.046213420501,5197.1618920805,281.7389353900001,6915.966371170027,7197.705306560027,24638.211632427214,37033.08
5,2025,360.2838486599998,5249.3569982320905,5609.64084689209,409.73304936000005,6598.814124520346,7008.547173880346,23518.306959219757,36136.49
6,2025,325.7279489400003,5132.155069361561,5457.883018301562,335.5508950600016,9524.345895720404,9859.896790780405,23647.69454594239,38965.47
7,2025,621.53928594,5449.305914209984,6070.845200149984,1005.1689698599993,8252.39518552012,9257.564155380118,29527.088651137645,44855.5
8,2025,202.21642502000003,5250.8690813799785,5453.085506399979,420.4751832200002,8855.686414209931,9276.161597429931,26511.588069262954,41240.84
9,2025,143.85725002999996,6761.779908130251,6905.637158160251,497.07140307999987,9467.805233980058,9964.876637060057,20594.388053839644,37464.9
10,2025,202.69885539999964,8788.554791679884,8991.253647079884,363.59749205000037,11626.281412840464,11989.878904890465,29975.469986189233,50956.6
11,2025,235.2169896100001,9557.689931269852,9792.906920879852,263.19031964000004,9450.1772762005,9713.3675958405,35212.20677976627,54718.48
12,2025,187.49356520000018,6718.827807870156,6906.321373070156,147.3262566200001,9974.168233310764,10121.494489930763,26075.56309250717,43103.38
