mes,ano,perc_num_oper_feminino,perc_num_oper_masculino,perc_valor_oper_feminino,perc_valor_oper_masculino
8,2019,11.34,88.66,11.1,88.9
9,2019,10.71,89.29,10.51,89.49
10,2019,11.48,88.52,8,92
11,2019,10.71,89.29,13.11,86.89
12,2019,11.53,88.47,11.52,88.48
1,2020,11.18,88.82,7.73,92.27
2,2020,10.73,89.27,10.47,89.53
3,2020,11.29,88.71,11.5,88.5
4,2020,11.38,88.62,12.7,87.3
5,2020,11.49,88.51,13.67,86.33
6,2020,9.76,90.24,14.17,85.83
7,2020,10.38,89.62,13.44,86.56
8,2020,12.51,87.49,10.99,89.01
9,2020,9.75,90.25,15.22,84.78
10,2020,10.18,89.82,13.2,86.8
11,2020,10.77,89.23,12.71,87.29
12,2020,9.71,90.29,12.82,87.18
1,2021,9.64,90.36,11.59,88.41
2,2021,10.73,89.27,11.9,88.1
3,2021,10.17,89.83,11.39,88.61
4,2021,10.76,89.24,11.07,88.93
5,2021,9.7,90.3,10.35,89.65
6,2021,9.77,90.23,12.79,87.21
7,2021,11.56,88.44,12.06,87.94
8,2021,13.77,86.23,13.92,86.08
9,2021,12.63,87.37,12.99,87.01
10,2021,14.59,85.41,14.41,85.59
11,2021,14.83,85.17,13.9,86.1
12,2021,16.2,83.8,14.23,85.77
1,2022,15.99,84.01,16.22,83.78
2,2022,14.47,85.53,12.36,87.64
3,2022,14.96,85.04,13.02,86.98
4,2022,15.9,84.1,13.52,86.48
5,2022,13.14,86.86,13.34,86.66
6,2022,14.53,85.47,15.69,84.31
7,2022,18.05,81.95,14.36,85.64
8,2022,17.83,82.17,13.43,86.57
9,2022,18.95,81.05,13.64,86.36
10,2022,20.16,79.84,15.55,84.45
11,2022,19.68,80.32,13.8,86.2
12,2022,24.95,75.05,15.68,84.32
1,2023,23.01,76.99,16.8,83.2
2,2023,16.32,83.68,15.21,84.79
3,2023,19.33,80.67,16.18,83.82
4,2023,11.11,88.89,16.24,83.76
5,2023,11.39,88.61,17.55,82.45
6,2023,17.1,82.9,17,83
7,2023,19.37,80.63,17.06,82.94
8,2023,30.22,69.78,17.15,82.85
9,2023,29.14,70.86,19.43,80.57
10,2023,36.14,63.86,17.2,82.8
11,2023,30.69,69.31,16.58,83.42
12,2023,23.12,76.88,16.58,83.42
1,2024,40.95,59.05,17.39,82.61
2,2024,40.54,59.46,17.35,82.65
3,2024,37.64,62.36,13.56,86.44
4,2024,38.88,61.12,12.78,87.22
5,2024,38.7,61.3,14.85,85.15
6,2024,38.65,61.35,15.82,84.18
7,2024,38.27,61.73,15.13,84.87
8,2024,37.87,62.13,16.22,83.78
9,2024,37.48,62.52,16.14,83.86
10,2024,34.6,65.4,16.42,83.58
11,2024,35.46,64.54,14.25,85.75
12,2024,31.79,68.21,14.15,85.85
1,2025,29.18,70.82,12.64,87.36
2,2025,27.98,72.02,10.87,89.13
3,2025,28.95,71.05,12.05,87.95
4,2025,30.34,69.66,12.83,87.17
5,2025,28.97,71.03,12.23,87.77
6,2025,18.54,81.46,12.88,87.12
7,2025,28.39,71.61,11.95,88.05
8,2025,29.08,70.92,13.07,86.93
9,2025,29.44,70.56,14.26,85.74
10,2025,29.23,70.77,10.86,89.14
11,2025,29.7,70.3,12.68,87.32
12,2025,29.96,70.04,12.88,87.12
